size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
45000,Seurat,5298.38,Filter3,9845,8.5751563924392,3.72414310269374,10.7144177687525,4.65321251377534
45000,Seurat,5289.87,Filter4,9845,8.5735489498812,3.72344499926082,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,9845,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,9845,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,5179.13,Filter1,3264,8.55239236747978,3.71425681226796,10.7144177687525,4.65321251377534
45000,Seurat,5179.55,Filter2,3264,8.55247345889302,3.71429202982125,10.7144177687525,4.65321251377534
45000,Seurat,5176.73,Filter3,3264,8.55192886178484,3.71405551430232,10.7144177687525,4.65321251377534
45000,Seurat,5177.84,Filter4,3264,8.55214325987269,3.7141486262088,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,3264,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,3264,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,5291.15,Filter1,4859,8.57379089253063,3.72355007361841,10.7144177687525,4.65321251377534
45000,Seurat,5278.7,Filter2,4859,8.57143513426391,3.72252698080248,10.7144177687525,4.65321251377534
45000,Seurat,5187.94,Filter3,4859,8.55409198021911,3.71499494470202,10.7144177687525,4.65321251377534
45000,Seurat,5186.82,Filter4,4859,8.5538760716093,3.71490117678418,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,4859,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,4859,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,5188.72,Filter1,9225,8.55424231761119,3.71506023540183,10.7144177687525,4.65321251377534
45000,Seurat,5188.09,Filter2,9225,8.55412089301139,3.71500750136816,10.7144177687525,4.65321251377534
45000,Seurat,5177.19,Filter3,9225,8.55201771702041,3.71409410364081,10.7144177687525,4.65321251377534
45000,Seurat,5178.18,Filter4,9225,8.55220892216383,3.71417714297951,10.7144177687525,4.65321251377534
45000,Seurat,5156.29,Filter5,9225,8.54797260762866,3.71233733495328,10.7144177687525,4.65321251377534
45000,Seurat,5168.66,Filter6,9225,8.55036874628667,3.71337796475033,10.7144177687525,4.65321251377534
45000,Seurat,5153.32,Filter1,7891,8.54739644614783,3.71208711120147,10.7144177687525,4.65321251377534
