size,method,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
25000,AnnSql On-Disk,0.15119695663452148,Filter5,-1.8891719435178385,-0.820456950436239,10.126631103850338,4.3979400086720375
25000,AnnData Backed,1.0949132442474365,Filter5,0.09067513113190645,0.03937970909644073,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.009919166564941406,Filter6,-4.613286376845773,-2.003524816903565,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0026264190673828125,Filter6,-5.942133931910306,-2.580635977358719,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1710050106048584,Filter6,-1.7660624211259683,-0.766991164191705,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.21158552169799805,Filter6,-1.5531260043162765,-0.6745140533750049,10.126631103850338,4.3979400086720375
30000,AnnSql In-Memory,0.0054473876953125,Filter1,-5.212619107179486,-2.263811714511506,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0030677318572998047,Filter1,-5.786816799133807,-2.5131826036488505,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.014520406723022461,Filter1,-4.2322002587503516,-1.8380212186847924,10.308952660644293,4.477121254719663
30000,AnnData Backed,2.62522292137146,Filter1,0.9651658148651048,0.4191661875175705,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.004473686218261719,Filter2,-5.409542552870448,-2.3493344803324656,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.0037088394165039062,Filter2,-5.597036277043159,-2.4307619701321643,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.13049793243408203,Filter2,-2.036397895761893,-0.8843963690887836,10.308952660644293,4.477121254719663
30000,AnnData Backed,1.1862022876739502,Filter2,0.17075684899418386,0.07415875726536089,10.308952660644293,4.477121254719663
30000,AnnSql In-Memory,0.004381656646728516,Filter3,-5.430328396257966,-2.35836165741737,10.308952660644293,4.477121254719663
30000,AnnData Not-Backed,0.004328250885009766,Filter3,-5.442591771232224,-2.3636875734982006,10.308952660644293,4.477121254719663
30000,AnnSql On-Disk,0.14979147911071777,Filter3,-1.8985110912877565,-0.8245128907783935,10.308952660644293,4.477121254719663
